No,Carry,Total,Side Dist,Smash Factor,Club Speed,Ball Speed,Back Spin,Side Spin,Launch Angle,Side Angle,Decent Angle,Apex,Flight Time,Type,Spin Axis,Total Spin,Face Angle,Club Path,Attack Angle,Club Lie,Impact Pos X,Impact Pos Y,Dynamic Loft,Face to Path,Dist to Apex
15,98.2,106.5,R 18.4,1.38,68.9,95.1,2890,R 245,13.2°,R 10.5°,24.1°,25,3.2 s,Push,4.9°,2900,R 1.2°,R 3.5°,--,--,--,--,--,--,57.3
14,105.8,118.2,L 8.3,1.41,70.2,98.9,2150,L 180,14.8°,L 1.2°,26.8°,29,3.5 s,Straight,-4.8°,2158,L 0.3°,L 0.8°,--,--,--,--,--,--,64.2
13,92.5,102.1,R 22.1,1.35,69.5,93.8,3120,R 890,12.5°,R 12.8°,23.2°,23,3.0 s,Push Slice,15.9°,3244,R 2.1°,R 4.8°,--,--,--,--,--,--,54.8
12,110.2,122.8,R 15.2,1.39,71.8,99.8,2450,R 520,15.1°,R 7.8°,27.5°,32,3.6 s,Push,12.1°,2504,R 1.8°,R 2.9°,--,--,--,--,--,--,66.9
11,88.4,98.9,L 12.5,1.32,68.1,89.9,2890,L 420,13.8°,L 2.8°,24.9°,24,3.1 s,Straight,-8.3°,2920,L 0.9°,L 1.2°,--,--,--,--,--,--,52.1
10,102.1,114.3,R 24.8,1.37,70.5,96.6,2680,R 1120,14.2°,R 11.2°,25.8°,28,3.4 s,Push Slice,22.6°,2906,R 2.5°,R 5.1°,--,--,--,--,--,--,60.5
9,95.8,107.2,L 6.2,1.36,69.8,95.0,2520,L 150,14.5°,L 0.9°,26.1°,26,3.3 s,Straight,-3.4°,2524,L 0.4°,L 0.7°,--,--,--,--,--,--,58.2
8,1.2,8.5,L 4.8,--,--,42.1,890,L 680,-2.1°,L 38.2°,2.0°,0,0.1 s,Pull Hook,-37.4°,1102,--,--,--,--,--,--,--,--,0.5
7,108.5,120.8,R 19.5,1.40,71.2,99.7,2340,R 780,15.8°,R 9.1°,28.2°,31,3.7 s,Push,18.5°,2468,R 2.2°,R 3.8°,--,--,--,--,--,--,65.8
6,93.2,104.5,L 9.8,1.34,69.2,92.7,2780,L 320,13.1°,L 1.8°,24.5°,24,3.1 s,Straight,-6.6°,2798,L 0.8°,L 1.1°,--,--,--,--,--,--,55.4
5,99.8,111.5,R 21.2,1.38,70.1,96.8,2590,R 920,14.4°,R 10.8°,26.2°,27,3.4 s,Push Slice,19.6°,2748,R 2.0°,R 4.2°,--,--,--,--,--,--,59.8
4,0.8,6.2,R 2.1,--,--,38.5,520,R 180,-1.8°,R 18.5°,1.7°,0,0.1 s,Push,-19.1°,550,--,--,--,--,--,--,--,--,0.3
3,106.2,118.9,L 11.2,1.39,70.8,98.4,2420,L 380,15.2°,L 2.1°,27.8°,30,3.6 s,Straight,-9.0°,2449,L 0.6°,L 0.9°,--,--,--,--,--,--,64.1
2,91.5,102.8,R 26.8,1.33,68.9,91.6,3050,R 1280,12.8°,R 14.2°,23.8°,23,3.0 s,Push Slice,22.8°,3308,R 2.8°,R 5.5°,--,--,--,--,--,--,53.9
1,103.8,116.2,R 17.8,1.38,70.4,97.2,2510,R 680,14.9°,R 8.5°,26.9°,28,3.5 s,Push,15.4°,2600,R 1.9°,R 3.2°,--,--,--,--,--,--,62.1
